
% frame   10000
% time 999.901
% report fiber:force
% identity      posX      posY    forceX    forceY   tension
%   fiber f1:0001
        24     0.349     2.770    -0.007     0.011     0.018
        24     0.389     2.678    -0.003    -0.029    -0.003
        24     0.428     2.586    -0.033    -0.012     0.003
        24     0.468     2.494    -0.020    -0.071    -0.050
        24     0.507     2.402    -0.022    -0.033    -0.067
        24     0.547     2.311     0.059    -0.006    -0.092
        24     0.587     2.219     0.020     0.095    -0.008
        24     0.626     2.127    -0.020    -0.017    -0.012
        24     0.666     2.035     0.006     0.010     0.000
%   fiber f1:0025
        25     0.707     1.997     0.000    -0.011    -0.009
        25     0.736     1.901     0.008     0.020     0.009
        25     0.765     1.805    -0.033    -0.012     0.009
        25     0.794     1.709    -0.021    -0.022    -0.004
        25     0.823     1.614    -0.037    -0.028    -0.019
        25     0.852     1.518    -0.033     0.014     0.006
        25     0.881     1.422    -0.073    -0.028     0.001
        25     0.910     1.327    -0.049     0.002     0.019
        25     0.939     1.231     0.007    -0.006     0.013
        25     0.968     1.135     0.019    -0.002     0.006
        25     0.997     1.040     0.004    -0.007     0.000
%   fiber f1:0026
        26     2.443    -2.802     0.000     0.000    -0.011
        26     2.374    -2.730     0.000     0.000    -0.023
        26     2.304    -2.658     0.000     0.000    -0.034
        26     2.235    -2.586     0.000     0.000    -0.046
        26     2.166    -2.514    -0.007     0.021    -0.077
        26     2.097    -2.442     0.062     0.010    -0.052
        26     2.027    -2.370     0.023     0.002    -0.049
        26     1.958    -2.298     0.068     0.022    -0.029
        26     1.889    -2.225     0.109     0.027     0.015
        26     1.819    -2.153     0.056     0.042     0.011
        26     1.750    -2.081     0.000     0.000     0.000
%   fiber f1:0027
        27     1.239    -0.204    -0.033     0.013    -0.019
        27     1.229    -0.104    -0.067    -0.030     0.002
        27     1.219    -0.005    -0.007    -0.053     0.051
        27     1.209     0.095    -0.018    -0.011     0.057
        27     1.199     0.194    -0.034     0.015     0.037
        27     1.189     0.294    -0.040    -0.014     0.044
        27     1.179     0.393    -0.027     0.012     0.027
        27     1.169     0.493    -0.024    -0.029     0.051
        27     1.159     0.592    -0.047     0.033     0.011
        27     1.149     0.692    -0.044    -0.032     0.036
        27     1.139     0.791    -0.009     0.032     0.000
%   fiber f1:0028
        28     1.213     0.224    -0.014    -0.002    -0.007
        28     1.226     0.125    -0.001    -0.006    -0.020
        28     1.239     0.026     0.018     0.005    -0.024
        28     1.253    -0.073    -0.003    -0.005    -0.035
        28     1.266    -0.173    -0.016     0.003    -0.037
        28     1.279    -0.272    -0.027    -0.001    -0.041
        28     1.292    -0.371    -0.003     0.003    -0.045
        28     1.305    -0.470    -0.011    -0.000    -0.051
        28     1.318    -0.569    -0.052     0.011    -0.040
        28     1.331    -0.668    -0.023     0.059     0.015
        28     1.344    -0.767     0.025    -0.004     0.000
%   fiber f1:0029
        29     1.259     0.204     0.000     0.000    -0.009
        29     1.225     0.298    -0.008     0.013    -0.033
        29     1.191     0.392     0.018    -0.042     0.004
